Time;"S(0l)";"S(l/2)";"S(0l)An";"S(l/2)An";
1,69523e-06;0;0;0;0;
1,70434e-06;0;0;0;0;
1,71346e-06;0;0;0;0;
1,72257e-06;0;0;0;0;
1,73168e-06;0;0;0;0;
1,7408e-06;0;0;0;0;
1,74991e-06;0;0;0;0;
1,75903e-06;0;0;0;0;
1,76814e-06;0;0;0;0;
1,77725e-06;0;0;0;0;
1,78637e-06;0;0;0;0;
1,79548e-06;0;0;0;0;
1,8046e-06;0;0;0;0;
1,81371e-06;0;0;0;0;
1,82282e-06;0;0;0;0;
1,83194e-06;0;0;0;0;
1,84105e-06;0;0;0;0;
1,85017e-06;0;0;0;0;
1,85928e-06;0;0;0;0;
1,8684e-06;0;0;0;0;
1,87751e-06;0;0;0;0;
1,88662e-06;0;0;0;0;
1,89574e-06;0;0;0;0;
1,90485e-06;0;0;0;0;
1,91397e-06;0;0;0;0;
1,92308e-06;0;0;0;0;
1,93219e-06;0;0;0;0;
1,94131e-06;0;0;0;0;
1,95042e-06;0;0;0;0;
1,95954e-06;0;0;0;0;
1,96865e-06;0;0;0;0;
1,97776e-06;0;0;0;0;
1,98688e-06;0;0;0;0;
1,99599e-06;0;0;0;0;
2,00511e-06;0;0;0;0;
2,01422e-06;0;0;0;0;
2,02334e-06;0;0;0;0;
2,03245e-06;0;0;0;0;
2,04156e-06;0;0;0;0;
2,05068e-06;0;0;0;0;
2,05979e-06;0;0;0;0;
2,06891e-06;0;0;0;0;
2,07802e-06;0;0;0;0;
2,08713e-06;0;0;0;0;
2,09625e-06;0;0;0;0;
2,10536e-06;0;0;0;0;
2,11448e-06;0;0;0;0;
2,12359e-06;0;0;0;0;
2,1327e-06;0;0;0;0;
2,14182e-06;0;0;0;0;
2,15093e-06;0;0;0;0;
2,16005e-06;0;0;0;0;
2,16916e-06;0;0;0;0;
2,17828e-06;0;0;0;0;
2,18739e-06;0;0;0;0;
2,1965e-06;0;0;0;0;
2,20562e-06;0;0;0;0;
2,21473e-06;0;0;0;0;
2,22385e-06;0;0;0;0;
2,23296e-06;0;0;0;0;
2,24207e-06;0;0;0;0;
2,25119e-06;0;0;0;0;
2,2603e-06;0;0;0;0;
2,26942e-06;0;0;0;0;
2,27853e-06;0;0;0;0;
2,28764e-06;0;0;0;0;
2,29676e-06;0;0;0;0;
2,30587e-06;0;0;0;0;
2,31499e-06;0;0;0;0;
2,3241e-06;0;0;0;0;
2,33322e-06;0;0;0;0;
2,34233e-06;0;0;0;0;
2,35144e-06;0;0;0;0;
2,36056e-06;0;0;0;0;
2,36967e-06;0;0;0;0;
2,37879e-06;0;0;0;0;
2,3879e-06;0;0;0;0;
2,39701e-06;0;0;0;0;
2,40613e-06;0;0;0;0;
2,41524e-06;0;0;0;0;
2,42436e-06;0;0;0;0;
2,43347e-06;0;0;0;0;
2,44259e-06;0;0;0;0;
2,4517e-06;0;0;0;0;
2,46081e-06;0;0;0;0;
2,46993e-06;0;0;0;0;
2,47904e-06;0;0;0;0;
2,48816e-06;0;0;0;0;
2,49727e-06;0;0;0;0;
2,50638e-06;0;0;0;0;
2,5155e-06;0;0;0;0;
2,52461e-06;0;0;0;0;
2,53373e-06;0;0;0;0;
2,54284e-06;0;0;0;0;
2,55195e-06;0;0;0;0;
2,56107e-06;0;0;0;0;
2,57018e-06;0;0;0;0;
2,5793e-06;0;0;0;0;
2,58841e-06;0;0;0;0;
2,59753e-06;0;0;0;0;
2,60664e-06;0;0;0;0;
2,61575e-06;0;0;0;0;
2,62487e-06;0;0;0;0;
2,63398e-06;0;0;0;0;
2,6431e-06;0;0;0;0;
2,65221e-06;0;0;0;0;
2,66132e-06;0;0;0;0;
2,67044e-06;0;0;0;0;
2,67955e-06;0;0;0;0;
2,68867e-06;0;0;0;0;
2,69778e-06;0;0;0;0;
2,70689e-06;0;0;0;0;
2,71601e-06;0;0;0;0;
2,72512e-06;0;0;0;0;
2,73424e-06;0;0;0;0;
2,74335e-06;0;0;0;0;
2,75247e-06;0;0;0;0;
2,76158e-06;0;0;0;0;
2,77069e-06;0;0;0;0;
2,77981e-06;0;0;0;0;
2,78892e-06;0;0;0;0;
2,79804e-06;0;0;0;0;
2,80715e-06;0;0;0;0;
2,81626e-06;0;0;0;0;
2,82538e-06;0;0;0;0;
2,83449e-06;0;0;0;0;
2,84361e-06;0;0;0;0;
2,85272e-06;0;0;0;0;
2,86183e-06;0;0;0;0;
2,87095e-06;0;0;0;0;
2,88006e-06;0;0;0;0;
2,88918e-06;0;0;0;0;
2,89829e-06;0;0;0;0;
2,90741e-06;0;0;0;0;
2,91652e-06;0;0;0;0;
2,92563e-06;0;0;0;0;
2,93475e-06;0;0;0;0;
2,94386e-06;0;0;0;0;
2,95298e-06;0;0;0;0;
2,96209e-06;0;0;0;0;
2,9712e-06;0;0;0;0;
2,98032e-06;0;0;0;0;
2,98943e-06;0;0;0;0;
2,99855e-06;0;0;0;0;
3,00766e-06;0;0;0;0;
3,01677e-06;0;0;0;0;
3,02589e-06;0;0;0;0;
3,035e-06;0;0;0;0;
3,04412e-06;0;0;0;0;
