Time;"U(l)";"U(l/2)";"U(l)A";"U(l/2)A";
8,74956e-07;3,25329e-05;0;3,28134e-05;0;
8,8407e-07;3,2875e-05;0;3,31552e-05;0;
8,93184e-07;3,32171e-05;0;3,3497e-05;0;
9,02298e-07;3,35593e-05;0;3,38388e-05;0;
9,11412e-07;3,39014e-05;0;3,41806e-05;0;
9,20526e-07;3,42435e-05;0;3,45224e-05;0;
9,29641e-07;3,45857e-05;0;3,48642e-05;0;
9,38755e-07;3,49278e-05;0;3,52061e-05;0;
9,47869e-07;3,52699e-05;0;3,55479e-05;0;
9,56983e-07;3,5612e-05;0;3,58897e-05;0;
9,66097e-07;3,59542e-05;0;3,62315e-05;0;
9,75211e-07;3,62963e-05;0;3,65733e-05;0;
9,84325e-07;3,66384e-05;0;3,69151e-05;0;
9,93439e-07;3,69806e-05;0;3,72569e-05;0;
1,00255e-06;3,73227e-05;0;3,75987e-05;0;
1,01167e-06;3,76648e-05;0;3,79405e-05;0;
1,02078e-06;3,80069e-05;0;3,82823e-05;0;
1,0299e-06;3,83491e-05;0;3,86241e-05;0;
1,03901e-06;3,86912e-05;0;3,89659e-05;0;
1,04812e-06;3,90333e-05;0;3,93077e-05;0;
1,05724e-06;3,93755e-05;0;3,96495e-05;0;
1,06635e-06;3,97176e-05;0;3,99913e-05;0;
1,07547e-06;4,00597e-05;0;4,03331e-05;0;
1,08458e-06;4,04018e-05;0;4,0675e-05;0;
1,09369e-06;4,0744e-05;0;4,10168e-05;0;
1,10281e-06;4,10861e-05;0;4,13586e-05;0;
1,11192e-06;4,14282e-05;0;4,17004e-05;0;
1,12104e-06;4,17704e-05;0;4,20422e-05;0;
1,13015e-06;4,21125e-05;0;4,2384e-05;0;
1,13927e-06;4,24546e-05;0;4,27258e-05;0;
1,14838e-06;4,27967e-05;0;4,30676e-05;0;
1,15749e-06;4,31389e-05;0;4,34094e-05;0;
1,16661e-06;4,3481e-05;0;4,37512e-05;0;
1,17572e-06;4,38231e-05;0;4,4093e-05;0;
1,18484e-06;4,41653e-05;0;4,44348e-05;0;
1,19395e-06;4,45074e-05;0;4,47766e-05;0;
1,20306e-06;4,48495e-05;0;4,51184e-05;0;
1,21218e-06;4,51916e-05;0;4,54602e-05;0;
1,22129e-06;4,55338e-05;0;4,5802e-05;0;
1,23041e-06;4,58759e-05;0;4,61439e-05;0;
1,23952e-06;4,6218e-05;0;4,64857e-05;0;
1,24863e-06;4,65602e-05;0;4,68275e-05;0;
1,25775e-06;4,69023e-05;0;4,71693e-05;0;
1,26686e-06;4,72444e-05;0;4,75111e-05;0;
1,27598e-06;4,75866e-05;0;4,78529e-05;0;
1,28509e-06;4,79287e-05;0;4,81947e-05;0;
1,29421e-06;4,82708e-05;0;4,85365e-05;0;
1,30332e-06;4,86129e-05;0;4,88783e-05;0;
1,31243e-06;4,89551e-05;0;4,92201e-05;0;
1,32155e-06;4,92972e-05;0;4,95619e-05;0;
1,33066e-06;4,96393e-05;0;4,99037e-05;0;
1,33978e-06;4,99815e-05;0;5,02455e-05;0;
1,34889e-06;5,03236e-05;0;5,05873e-05;0;
1,358e-06;5,06657e-05;0;5,09291e-05;0;
1,36712e-06;5,10078e-05;0;5,12709e-05;0;
1,37623e-06;5,135e-05;0;5,16128e-05;0;
1,38535e-06;5,16921e-05;0;5,19546e-05;0;
1,39446e-06;5,20342e-05;0;5,22964e-05;0;
1,40358e-06;5,23764e-05;0;5,26382e-05;0;
1,41269e-06;5,27185e-05;0;5,298e-05;0;
1,4218e-06;5,30606e-05;0;5,33218e-05;0;
1,43092e-06;5,34028e-05;0;5,36636e-05;0;
1,44003e-06;5,37449e-05;0;5,40054e-05;0;
1,44915e-06;5,4087e-05;0;5,43472e-05;0;
1,45826e-06;5,44291e-05;0;5,4689e-05;0;
1,46737e-06;5,47713e-05;0;5,50308e-05;0;
1,47649e-06;5,51134e-05;0;5,53726e-05;0;
1,4856e-06;5,54555e-05;0;5,57144e-05;0;
1,49472e-06;5,57977e-05;0;5,60562e-05;0;
1,50383e-06;5,61398e-05;0;5,6398e-05;0;
1,51294e-06;5,64819e-05;0;5,67399e-05;0;
1,52206e-06;5,6824e-05;0;5,70817e-05;0;
1,53117e-06;5,71662e-05;0;5,74235e-05;0;
1,54029e-06;5,75083e-05;0;5,77653e-05;0;
1,5494e-06;5,78504e-05;0;5,81071e-05;0;
1,55852e-06;5,81926e-05;0;5,84489e-05;0;
1,56763e-06;5,85347e-05;0;5,87907e-05;0;
1,57674e-06;5,88768e-05;0;5,91325e-05;0;
1,58586e-06;5,9219e-05;0;5,94743e-05;0;
1,59497e-06;5,95611e-05;0;5,98161e-05;0;
1,60409e-06;5,99032e-05;0;6,01579e-05;0;
1,6132e-06;6,02453e-05;0;6,04997e-05;0;
1,62231e-06;6,05875e-05;0;6,08415e-05;0;
1,63143e-06;6,09296e-05;0;6,11833e-05;0;
1,64054e-06;6,12717e-05;0;6,15251e-05;0;
1,64966e-06;6,16139e-05;0;6,18669e-05;0;
1,65877e-06;6,1956e-05;0;6,22088e-05;0;
1,66788e-06;6,22981e-05;0;6,25506e-05;0;
1,677e-06;6,26402e-05;0;6,28924e-05;0;
1,68611e-06;6,29824e-05;0;6,32342e-05;0;
1,69523e-06;6,33245e-05;0;6,3576e-05;0;
1,70434e-06;6,36666e-05;0;6,39178e-05;0;
1,71346e-06;6,40088e-05;0;6,42596e-05;0;
1,72257e-06;6,43509e-05;0;6,46014e-05;0;
1,73168e-06;6,4693e-05;0;6,49432e-05;0;
1,7408e-06;6,50352e-05;0;6,5285e-05;0;
1,74991e-06;6,53773e-05;0;6,56268e-05;0;
1,75903e-06;6,57194e-05;0;6,59686e-05;0;
1,76814e-06;6,60615e-05;0;6,63104e-05;0;
1,77725e-06;6,64037e-05;0;6,66522e-05;0;
1,78637e-06;6,67458e-05;0;6,6994e-05;0;
1,79548e-06;6,70879e-05;0;6,73358e-05;0;
1,8046e-06;6,74301e-05;0;6,76777e-05;0;
1,81371e-06;6,77722e-05;0;6,80195e-05;0;
1,82282e-06;6,81143e-05;0;6,83613e-05;0;
1,83194e-06;6,84564e-05;0;6,87031e-05;0;
1,84105e-06;6,87986e-05;0;6,90449e-05;0;
1,85017e-06;6,91407e-05;0;6,93867e-05;0;
1,85928e-06;6,94828e-05;0;6,97285e-05;0;
1,8684e-06;6,9825e-05;0;7,00703e-05;0;
1,87751e-06;7,01671e-05;0;7,04121e-05;0;
1,88662e-06;7,05092e-05;0;7,07539e-05;0;
1,89574e-06;7,08514e-05;0;7,10957e-05;0;
1,90485e-06;7,11935e-05;0;7,14375e-05;0;
1,91397e-06;7,15356e-05;0;7,17793e-05;0;
1,92308e-06;7,18777e-05;0;7,21211e-05;0;
1,93219e-06;7,22199e-05;0;7,24629e-05;0;
1,94131e-06;7,2562e-05;0;7,28047e-05;0;
1,95042e-06;7,29041e-05;0;7,31466e-05;0;
1,95954e-06;7,32463e-05;0;7,34884e-05;0;
1,96865e-06;7,35884e-05;0;7,38302e-05;0;
1,97776e-06;7,39305e-05;0;7,4172e-05;0;
1,98688e-06;7,42727e-05;0;7,45138e-05;0;
1,99599e-06;7,46148e-05;0;7,48556e-05;0;
2,00511e-06;7,49569e-05;0;7,51974e-05;0;
2,01422e-06;7,5299e-05;0;7,55392e-05;0;
2,02334e-06;7,56412e-05;0;7,5881e-05;0;
2,03245e-06;7,59833e-05;0;7,62228e-05;0;
2,04156e-06;7,63254e-05;0;7,65646e-05;0;
2,05068e-06;7,66676e-05;0;7,69064e-05;0;
2,05979e-06;7,70097e-05;0;7,72482e-05;0;
2,06891e-06;7,73518e-05;0;7,759e-05;0;
2,07802e-06;7,76939e-05;0;7,79318e-05;0;
2,08713e-06;7,80361e-05;0;7,82737e-05;0;
2,09625e-06;7,83782e-05;0;7,86155e-05;0;
2,10536e-06;7,87203e-05;0;7,89573e-05;0;
2,11448e-06;7,90625e-05;0;7,92991e-05;0;
2,12359e-06;7,94046e-05;0;7,96409e-05;0;
2,1327e-06;7,97467e-05;0;7,99827e-05;0;
2,14182e-06;8,00889e-05;0;8,03245e-05;0;
2,15093e-06;8,0431e-05;0;8,06663e-05;0;
2,16005e-06;8,07731e-05;0;8,10081e-05;0;
2,16916e-06;8,11152e-05;0;8,13499e-05;0;
2,17828e-06;8,14574e-05;0;8,16917e-05;0;
2,18739e-06;8,17995e-05;0;8,20335e-05;0;
2,1965e-06;8,21416e-05;0;8,23753e-05;0;
2,20562e-06;8,24838e-05;0;8,27171e-05;0;
2,21473e-06;8,28259e-05;0;8,30589e-05;0;
2,22385e-06;8,3168e-05;0;8,34007e-05;0;
2,23296e-06;8,35102e-05;0;8,37426e-05;0;
2,24207e-06;8,38523e-05;0;8,40844e-05;0;
2,25119e-06;8,41944e-05;0;8,44262e-05;0;
2,2603e-06;8,45365e-05;0;8,4768e-05;0;
2,26942e-06;8,48787e-05;0;8,51098e-05;0;
2,27853e-06;8,52208e-05;0;8,54516e-05;0;
2,28764e-06;8,55629e-05;0;8,57934e-05;0;
2,29676e-06;8,59051e-05;0;8,61352e-05;0;
2,30587e-06;8,62472e-05;0;8,6477e-05;0;
2,31499e-06;8,65893e-05;0;8,68188e-05;0;
2,3241e-06;8,69315e-05;0;8,71606e-05;0;
2,33322e-06;8,72736e-05;0;8,75024e-05;0;
2,34233e-06;8,76157e-05;0;8,78442e-05;0;
2,35144e-06;8,79578e-05;0;8,8186e-05;0;
2,36056e-06;8,83e-05;0;8,85278e-05;0;
2,36967e-06;8,86421e-05;0;8,88696e-05;0;
2,37879e-06;8,89842e-05;0;8,92115e-05;0;
2,3879e-06;8,93264e-05;0;8,95533e-05;0;
2,39701e-06;8,96685e-05;0;8,98951e-05;0;
2,40613e-06;9,00106e-05;0;9,02369e-05;0;
2,41524e-06;9,03527e-05;0;9,05787e-05;0;
2,42436e-06;9,06949e-05;0;9,09205e-05;0;
2,43347e-06;9,1037e-05;0;9,12623e-05;0;
2,44259e-06;9,13791e-05;0;9,16041e-05;0;
2,4517e-06;9,17213e-05;0;9,19459e-05;0;
2,46081e-06;9,20634e-05;0;9,22877e-05;0;
2,46993e-06;9,24055e-05;0;9,26295e-05;0;
2,47904e-06;9,27477e-05;0;9,29713e-05;0;
2,48816e-06;9,30898e-05;0;9,33131e-05;0;
2,49727e-06;9,34319e-05;0;9,36549e-05;0;
2,50638e-06;9,3774e-05;0;9,39967e-05;0;
2,5155e-06;9,41162e-05;0;9,43385e-05;0;
2,52461e-06;9,44583e-05;0;9,46804e-05;0;
2,53373e-06;9,48004e-05;0;9,50222e-05;0;
2,54284e-06;9,51426e-05;0;9,5364e-05;0;
2,55195e-06;9,54847e-05;0;9,57058e-05;0;
2,56107e-06;9,58268e-05;0;9,60476e-05;0;
2,57018e-06;9,6169e-05;0;9,63894e-05;0;
2,5793e-06;9,65111e-05;0;9,67312e-05;0;
2,58841e-06;9,68532e-05;0;9,7073e-05;0;
2,59753e-06;9,71953e-05;0;9,74148e-05;0;
2,60664e-06;9,75375e-05;0;9,77566e-05;0;
2,61575e-06;9,78796e-05;0;9,80984e-05;0;
2,62487e-06;9,82217e-05;0;9,84402e-05;0;
2,63398e-06;9,85639e-05;0;9,8782e-05;0;
2,6431e-06;9,8906e-05;0;9,91238e-05;0;
2,65221e-06;9,92481e-05;0;9,94656e-05;0;
